id,title,ingredients,likes,prep_time,calories
1,Tiramisù,"['uova', 'zucchero', 'caffè', 'panna', 'savoiardi']",100,60,500
2,Pizza Margherita,"['farina', 'acqua', 'sale', 'lievito', 'pomodoro', 'mozzarella', 'basilico']",200,30,1000
3,Insalata di pollo,"['pollo', 'insalata', 'pomodoro', 'maionese', 'formaggio']",70,15,400
4,Spaghetti alla carbonara,"['spaghetti', 'uova', 'guanciale', 'pepe', 'parmigiano']",150,20,800
5,Lasagne alla bolognese,"['lasagne', 'ragù', 'besciamella', 'parmigiano']",250,60,1200
6,Curry di pollo,"['pollo', 'curry in polvere', 'latte di cocco', 'cipolla', 'aglio', 'zenzero fresco']",150,30,600
7,Paella,"['riso per paella', 'gamberetti', 'cozze', 'piselli', 'saffron', 'pollo', 'aglio']",200,45,800
8,Pad Thai,"['noodles di riso', 'gamberetti', 'uova', 'arachidi', 'cipolla', 'aglio', 'salsa di tamarindo', 'erba cipollina']",250,12,450
9,Tacos al pastor,"['mais tortillas', 'maiale marinato', 'ananas', 'cipolla', 'coriandolo']",100,25,350
10,Tandoori chicken,"['pollo', 'yogurt', 'spezie tandoori', 'limone', 'aglio', 'cipolla']",150,35,500
11,Sushi,"['riso per sushi', 'alga nori', 'salmone', 'tonno', 'gamberi', ' avocado']",200,40,500
12,Goulash ungherese,"['manzo', 'cipolla', 'aglio', 'pomodoro', 'paprika', 'carote']",150,60,700
13,Biryani indiano,"['riso basmati', 'pollo', 'spezie', 'cipolla', 'piselli', 'pomodoro']",200,45,600
14,Kebab turco,"['carne di agnello', 'cipolla', 'aglio', 'pomodoro', 'pane arabo']",250,30,500
15,Ragoût belga,"['manzo', 'cipolla', 'carote', 'patate', 'pomodoro', 'brodo di manzo']",150,90,800
17,Nacho messicano,"['nacho', 'fagioli', 'pomodoro', 'formaggio grattugiato', 'guacamole', 'salsa di pomodoro']",100,20,450
18,Bouillabaisse francese,"['pesce', 'cozze', 'vongole', 'aglio', 'pomodoro', 'patate']",150,60,700
19,Pho vietnamita,"['noodles di riso', 'manzo', 'fagioli verdi', 'cipolla', 'aglio', 'erba cipollina']",200,30,500
20,Curry verde tailandese,"['pollo', 'latte di cocco', 'cipolla', 'aglio', 'coriandolo', 'basilico']",150,35,550
21,Pescado a la talla messicano,"['pesce', 'limone', 'aglio', 'coriandolo', 'peperoncino']",200,20,400
22,Pierogi polacchi,"['impasto per pierogi', 'patate', 'cipolla', 'formaggio', 'panna acida']",100,45,600
23,Jambalaya americano,"['riso', 'gamberetti', 'salsiccia', 'pomodoro', 'cipolla', 'aglio']",150,30,700
24,Paella spagnola,"['riso per paella', 'gamberetti', 'cozze', 'piselli', 'saffron', 'pollo', 'aglio']",200,45,800
25,Fish and chips inglese,"['pesce', 'patatine fritte', 'maionese']",100,20,500
